5000 5000
759 3256 3346
3835 697 2241
249 2621 4785
4536 3319 527
2779 2197 4150
753 1680 3734
1953 1757 102
3041 1857 3604
1649 4630 40
4044 1152 4107
2579 4089 4321
2882 2005 2363
3208 1986 2583
4800 1202 1569
956 1762 4446
1638 4585 1490
1131 4683 1350
3238 2218 2287
4512 600 682
554 2861 3687
3668 2483 228
4273 2810 2269
4918 1620 3420
2586 4593 1390
2509 1011 4968
4234 4497 3577
456 1166 1967
45 4506 1970
3553 2083 1006
2443 4708 4225
1151 4945 3499
788 318 1420
847 2119 2747
2722 4525 397
454 1127 4075
2135 598 898
3513 193 1114
267 1612 3390
703 4431 1859
1888 377 2911
3454 3546 3753
1864 2467 760
3476 1122 673
921 598 2978
3315 382 4686
1721 2555 3399
2480 1242 3829
4819 4384 169
4629 4101 944
2510 4276 47
1723 2676 955
122 4522 2161
3397 4749 3140
2621 4855 593
3350 3378 4069
3314 3242 2135
3185 4726 1433
4742 2155 4327
1220 1241 493
2195 669 4073
1562 2525 3942
4730 1948 983
424 4363 1785
3472 3527 1315
1430 2297 4945
4702 222 4077
3680 1582 1508
1053 1236 3893
3180 4587 1744
1744 1169 4544
277 298 3212
4234 2340 3017
4853 1656 4370
1017 324 2195
437 110 198
3400 1053 4098
3053 95 174
4794 1071 2819
1673 3722 1892
4267 1654 2805
853 2185 3467
2188 4312 1891
2973 2333 4800
935 3520 1242
4945 3808 1050
947 559 1845
2027 3583 2753
2351 1449 1357
3481 1184 4560
3765 2709 3625
4949 704 4868
1610 1600 3102
379 3524 3209
3267 3156 2928
355 1072 1042
2959 4948 1776
363 4029 766
1838 1254 3297
4160 3262 4901
1111 3208 3425
800 1197 4077
4534 4699 4195
4030 2154 3652
3058 1749 2004
508 700 383
3156 4097 4804
232 394 2919
4581 704 1610
4732 2930 3998
3252 2815 4558
108 4291 2655
1512 2391 210
1063 4607 964
324 454 794
2501 3818 152
189 27 1899
4288 1248 2561
2444 4414 4150
4145 4021 2582
9 3227 4883
4887 1148 2682
4227 877 4021
4982 4633 1964
3334 1165 1070
3209 1838 4272
3670 1695 4762
4932 2370 3251
973 554 1477
4449 676 2538
783 1707 2048
3219 342 4288
482 2787 3012
3549 1992 882
3139 4078 3896
2211 4535 1315
712 3377 4809
4964 4128 1911
3340 4340 4793
4371 1392 2088
2833 2375 4960
1421 3400 1877
1993 482 3928
1676 3203 3734
1253 409 3360
3390 218 4492
2854 4536 2527
1462 4059 2238
2583 4415 1941
280 3059 825
1889 78 4191
4019 4572 2301
3856 3734 3139
786 625 3721
147 1275 825
3001 1021 1131
3694 839 1349
4976 1727 1593
4741 1720 4788
728 2755 2189
2723 3342 2506
423 147 3836
4864 1183 3589
603 3271 2997
611 2078 4151
1646 1462 1399
4845 4868 3248
723 792 2748
2435 945 2258
646 1206 3641
3443 200 2217
365 4510 714
3080 2760 4648
3644 1518 176
1678 1928 2364
145 879 3628
2732 3044 3930
537 4820 3141
52 2096 1087
863 4380 2429
2004 3167 714
4709 1349 4912
1336 996 3550
4350 1682 4687
2237 1218 2253
4128 470 3513
1916 2773 2839
3438 1141 352
1054 3501 2345
1804 3338 1036
1967 1193 3216
588 3555 1516
3875 4097 1050
2999 2140 386
4007 4446 4109
4988 3676 1486
3175 3045 4490
4994 1922 1802
4669 4425 3871
2201 3204 3401
285 579 2865
3404 2732 4324
395 546 2211
925 821 4690
897 4160 147
2131 2143 798
3403 2059 2264
2157 1092 2587
1706 1859 184
2024 2323 2211
1124 1663 847
3083 4914 3133
338 1084 2683
4012 2521 2888
4749 3254 429
55 1053 54
4803 618 3540
1754 837 4220
2079 834 3069
